user_id, business_id, prediction
k3_0DsoOO7q79wt10t6L_A,-0NrB58jqKqJfuUCDupcsw,3.0
31GGdW0v1NsQoD5xkHlsxQ,ufmokEGxGqEWIdvIVsNg_Q,5.0
tjvcQKZPAbGp60Fl94QxdQ,NoA6bD6W7z_Aztk_cOU5cg,2.0
4wp4XI9AxKNqJima-xahlg,qQvHYQ1uocuEnFcUdhxV_g,5.0
_Y1CZq2b8T9T3d2N3PNfkA,-ed0Yc9on37RoIoG2ZgxBA,5.0
VQHGS5qNZvuN2Y78zDA2KQ,v-mf4zyMNN5oufm6rFxGBg,4.0
QdUmY-2grRyOL6u_FphKwQ,cisqOxAgQPjVVr9Yzk8_dw,3.0
k-E4s7OlRJAxiJJdaTBgmQ,IuSx68tb7iZa-aAeknXp8A,4.0
0f_0XfO2qcgNwSJAHwfR9g,yfxDa8RFOvJPQh0rNtakHA,4.0
64WaWNeYSmN45a1MdiFv5w,aNickGLG7x7AR8EwiUXVtw,5.0
JumU1enAh-hYo0dYW43gUg,anQSLdujUOp0sTCmIBi2Tg,5.0
S-oatbN-h7SKiWwkTWw5QA,U9aA5H13y7t9xWnoQslV0Q,1.0
odWhNodAZpJLzPdqCXdgdg,cT1eYUOjz5CgvZJuxu87sg,2.0
Xsuv6bKcPUVDWih0DtEBbA,yQab5dxZzgBLTEHCw9V7_w,4.0
oMRDMqk0wIni7bttUFBXuw,kfP2LXyH1misyw3wHEOneA,5.0
w5xsTd0rUnTp9wd0w1qTpg,6nMYROXu0VX4Ytpdsfi3XA,5.0
0gtEsazPeHr5rj2IAsZePg,APLfzC4bgq7wVwq3aoDE9Q,3.0
UgolKvzsn6I6SXhSiqm8dA,w2xwgqHM7dJlHfyu4ouhBg,1.0
FKclATu5-fmK6lsAUuHp7w,xtDZdPaHwhAwoo77QV9Oeg,3.0
8Ni1MmORWyvW0lJHJiqiQg,NtIUfE8Yj119F3DSPXYs5A,2.0
Ue_7yUlkEbX4AhnYdUfL7g,hDlRzzxfVkVNjnveJ8sLmg,4.0
JzxY6VQfi1APVsImAUw-YQ,Qy_tDaVTWlS14fEglzo1Tg,2.0
yTV3KHOm4-RQpClyYKGnkw,mjhwLcuoenVW8oFhcNmlHA,3.0
udpfGxriuoBdWRBdplJl-w,fQt4D34vcJNtEf8Q4zte3w,5.0
YmAqQyaFli8H9LVGhGhR9w,MtzjOi57BkQrqF8wqNOyHg,4.0
74goFJSWzAwmk69XfPqEag,dy0O7DaSUd49NZWSEtvz_g,4.5
cJ-ujlCWP0i1UZXSH7F3gg,NyLYY8q1-H3hfsTwuwLPCg,3.5
x9g-i1DsB-VjSDGVOdRonA,IWKtGvVg4hqc9rWHjW8KoA,2.0
qb-8RrNbVj-3WkXYuxpi3w,Cy8XYYDrZ5wd3Bq-toXMsg,4.0
-9b4s874f_CnznTu4JorRg,-pexuIf6nAyzhNSN6wQsTA,5.0
8CH4lHq431mi_OEDDgQ1-A,Rl6NhS6S-Vv-HuGlQUVvRQ,5.0
wZPizeBxMAyOSl0M0zuCjg,N0apJkxIem2E8irTBRKnHw,2.0
LmWO_u9v7e1vMJlNykjUoA,GTlqxvQBw13ScKY23T3gDA,2.5
bf2Twxnea_9NhIs-2lvK8g,fQFfq8C3P0Gm3xhanR8K_A,1.0
KAIG8_R5vcBt-CGUi4bkPA,yU34swtpTS8-SMjeLIEFcQ,5.0
23o7tyUGlC6FCDVcyqLeFA,Qmwfg-PtYuCo5Q_IwcA_HQ,5.0
WLNAJUlGmHUI5OEoYdLSog,L4auvKBGFOoMVqQ7VHV-Zw,3.0
WM7MFrRP-7YFuGBAJ6quRQ,p45zoSxaX9FC6JBoyw6DKg,4.0
qQRmnbKI84Up4a2MBFfaFg,u4sTiCzVeIHZY8OlaL346Q,4.0
yLaZk0HDmySN49H5l4niOQ,7rf7j0WPx7kYZj5GAXKS3g,1.0
Wu0yySWcHQ5tZ_59HNiamg,JOoblYsQjFT-47tkt6om0A,4.0
NxtYkOpXHSy7LWRKJf3z0w,mIVfDS47YwXjDjXVxAoZVg,3.0
I-4KVZ9lqHhk8469X9FvhA,HDaUhVPFDt5928LIh2v9jg,5.0
BGzavA_ddMr-jGmhArv7fg,8EZ3V_eRfhTRCjpdTD2tug,3.0
pkyX-J7RvQVIvFTZJKtpEQ,eJNHwNoCk_hZbK8AeHDZ9g,3.0
vbHlFP0Orx1mM5-uBqzYFg,PGr18rKxQ41vLkqL5WT8vw,4.0
UEeZ-eE63citRQIeqsQq1g,BjPph9SbmEfox2vip326PQ,3.0
3hWJxx8-gMutgaKY2T7IKQ,Kk-e3xC8sWiAhh1N4E5myw,3.0
G9Vb6yQ047TC3O_-GG4WZA,pH0BLkL4cbxKzu471VZnuA,4.0
JcNSd3dXmIMVHP2CUpvMHA,4KmrrhtfnngTVFa2d5LAjg,3.0
oGkWRSFBhVJgXn37KBy1cA,f4x1YBxkLrZg652xt2KR5g,1.0
tpq10k8caBbqMbqNwpaE7Q,nJUsNx-LKAZ0FHGm9mnmaw,5.0
orh0HRUNCWuQMt9Iia_osg,NVsmDL12AWwovFsuBMD1jQ,3.0
231WruJwGq6km5I8qskGBQ,tyo6QzKpnUVTjXoq91FBuQ,4.0
gKU45Tq9JJ9Z7HiZChu3ew,sz6_gKcHjtcpWKIZLXV85w,4.0
nVNG_EGrrES_KaZx3USxZg,ostVuyoxxQiP3Qik_L7nPA,5.0
ReDypdRmVA3wc-QG8HBKkQ,xmGvhfOxjz9JG1ktVAzhMQ,4.0
eTa9_Q6j_F0aq4JrLp2Wuw,Y4Zc8xLs7AkHG7seLpI8wQ,2.0
yaBIVHDxaUBN2YHQ8-YiuQ,dCPyV8XCEyE7pyUgzOCDKA,3.0
3yPrXlvbECGKHSZTy9usWA,gwYt_q3Ob7aQJIefIBsZiQ,5.0
OZR58zI5EzOfpS_qnhniug,pdTYUCGkYz35utxPyUMoag,2.0
Tl38LR3s2YCCB6r5nwvkhA,9fBwxdHyJRS1nLkMJ8cavw,5.0
jNI9GYFHzInokLpoZ_OPBA,5YKsKS3nzdkwu37ORT9oiQ,4.0
2gZrgKYdAx92XvEhpHhWzg,AercPW1B2YVNK3UsiPDkTg,3.0
SS3sFA9ksCT9bjocM3Wbug,isw3cS3hOKdKeBgi3lF3-A,5.0
8P2LkzPGV4ID_fE7gJGKGg,Bo9uuPiAsq_z02eb87N41g,2.0
9CyNha8NE-7HEgjvUZFmnQ,WeKF3N1MK0eJQmZdxPL9pQ,2.0
bkZm5pMRKzo7B5IHyAVAUQ,l8tOW5Zxxv2UW3T5t-fR1Q,1.0
XbiKsujS_qxU3xsr0xUqmQ,4t_RBsTtU7hhVYJweh46Uw,4.0
M9TjYmTgHayJ22cNkyvW_g,D2nfOrnJ2OBlX_428sKyMg,4.0
48vRThjhuhiSQINQ2KV8Sw,ajoqEHnCZTD8-8GqGLq9-Q,5.0
TX5kwQLpKUDvNf4mfdaH3Q,NUHNLaMg7aMesMdAiie73w,4.0
JADdo9NEeO5Az9aOYbyvZA,dn_ipqbm7_jUz5X3rDez_A,4.0
Xnqbsqex72_KYsOk4AbqDg,ZbQC5MCxZPg2HhrQ2VV4lw,1.0
9pbOJFanh66_QnIb5Fjblg,ZPVhjltJcQ-YnaoV-h-FeA,3.0
0XUT600cCh-fFCS4SZe-tQ,kGOr_D-LNpgZ2M9N8TT4QQ,5.0
RS5JztShXARj8kDJoDs0-g,WxKQSp2_6lQxcng703Hv8g,4.0
QJTC5x9yHycwvZwmYdR4IQ,ZGgUJmpRbh2VXftRhQmUSA,5.0
4Urg4tXL_m6nYsOt34mAeQ,WeKF3N1MK0eJQmZdxPL9pQ,2.0
ObQl16Vuc4sHPGKtzSGNUw,DLJCwHGtbAV31UQ1lnIjlw,4.0
xrvyW1ruKS0uz9RtFewC0Q,-a857YYdjzgOdOjFFRsRXQ,4.0
wM7HTh-ixzNpZfTvFZmbuw,7xmuQuhpzBlkkSbWePFeVQ,5.0
2Z29fLaeLtGnNroTuHyJ2A,dYDuaXVyIXMXlmeMYf2ktw,4.0
XZGhDl475T95mxFgdWdYfA,AV6weBrZFFBfRGCbcRGO4g,3.0
VVimjPD7f8O5D1fhy5vSpw,lWmDrnqgU6w3gFaJyn_1Uw,4.0
NQBQj7tHxETHf4PDkAtKUA,Ladt7CobMcCFZ8-iC5v0cw,3.0
4sGwJy5Oplz8QXLgD8dr2w,r_BrIgzYcwo1NAuG9dLbpg,4.0
xDl9ZF3SckkZde_48W6WeA,LGOnnrjU50YtT066RP_J3g,3.0
QGOtNZfasBwWCuawKjypYA,jF4TNrr03o1y6PNwC-TwFg,5.0
F_QjqauO7SMR1zg3r-8b2A,rcaPajgKOJC2vo_l3xa42A,5.0
_oVFknPUotEq0LM4TJ74vw,VH3WA7a-OVzFj2K_SP4BIw,3.0
uQoYEWM6LOTX7huHiHgs4A,fhoFsFK6TqJOEo30LtXeDA,2.0
jJyCZ8VtE-BOCi7xLnPCdQ,qPeHkpE_2rx7BYhJ4XmZ8Q,1.0
PsF-A4zQ2n7o1SF6oUNjcw,Pob7ibbNT29--69nxXEP2g,4.0
fbbXmHoCfd6wXMHnkjgDTg,A5Rkh7UymKm0_Rxm9K2PJw,1.0
Z8kF-Ftv2O5TZ35uGD6jxQ,lNBhwf_3c0QBqBlsYRygaQ,4.0
zaC3L_qy28bMLIvnoMng8Q,ujHiaprwCQ5ewziu0Vi9rw,4.0
D4Yywoe-WrRw-evn48vWng,w4yq1IRk0DHQE995giqjGg,5.0
VkWUgLZkholyRWagwDpgHw,CsSpPV3haN5fXiqLNN-RlQ,3.0
CcDDOchJQ3z40v8TlSwWZw,WbJlidbpXWEfo9DpLZhQZw,5.0
LNvGtveRK1APrQ4YXLNYHg,F2pfjAZ_3dMTGCKv6c5wOw,4.5
a3yOeL5b0lzbo1ORHF2yHg,xJzJpTYC_1k_EE0AWTOPXw,5.0
-m0KTRk0c901-4b-BN34Gg,-63pZrN9eEFoi-avMMx6Ug,2.0
l-tDF960t9BakjyH34XfTA,xSs1Z1OrWC_KmhY0SPKJ1Q,3.5
puTI2HTposBAw95DG0LIIw,mjDo6APNdY_KHLYbS1BeHg,4.0
x3Z6mJPgtnF5ni1engieDQ,RbrZJEf8TlnP7RHaKnCtIQ,4.0
-vjSUjoYYROCHImyLenDNA,e0JOkQYz_cnz91k6X55PLw,3.0
73epOyK2X_fHGyCQ9S1e4g,NXcV1HuXbfus0QNdI6UpOA,5.0
aIg29snwGTFBzkV7HtDHfg,uP3H5bcsiTXM0k0xQhRndg,4.0
7uSp0cMPXm3R7TmTg-nAXw,_ruizXa-KyFO5mNA0p3nBA,4.0
-NwDw6HgVpA4ys6WYcI6Xg,8g8HWvgVT5M07yToLGWOcQ,3.0
N5URmpyygDBSC_8UShI_6Q,vHt0CSynqesXox-9nBj7uA,5.0
Lb-W21R8P4AdQyljVxY21Q,yMeyFt8ktPvzN0qFYLljMw,5.0
zTK1nPD2Hpa-ksSXsE-JzQ,dCUuzw3R2rPqKyN2Zl9zRw,5.0
dHRchS7reL10P-EpYXYUiA,eMz8i2LpafE6D-ZhzDtglw,3.0
JL2Ogxq70suesQqDY47YUA,0mGYvAFGxH9bGRqYHxS0BQ,4.0
HABiMjY00isjIoIHGepX2w,owsVSnllxn994EpBR8ZFwQ,5.0
fSYQ_oQ0wNGk2nMJLvNZJA,ghaj1MZzPW1qXYCZWfoTTw,5.0
O0evs8847ecEkeFMEuK4PA,7XcOd9PdPgiQ6e7S5MMwZg,3.0
3uWCWMWcrn8YSH_qBvlr6w,o65tYlxYwa8xkEoMr3HwWQ,2.0
etyGh4GyR-lzPuvjlHDkIw,tIiiq23utFKTs1At2bVD6w,4.0
U4INQZOPSUaj8hMjLlZ3KA,6Z6IyosSMciZtwk8hRLRag,4.0
d53XPbuax-aS7MuH29zIGQ,5kOI2lQTcFpFI3Lt-TX9gg,4.0
Nq6e5N8bjgD9B46O4va_zA,uthbVCNZqmExJTzhII9iNQ,4.0
rp3f9BRQeJPIE0jMd4OGBg,awI4hHMfa7H0Xf0-ChU5hg,5.0
0FMte0z-repSVWSJ_BaQTg,NCFwm2-TDb-oBQ2medmYDg,5.0
CxDOIDnH8gp9KXzpBHJYXw,pgomg_u3H2RtEVUYUcngXQ,4.0
qVRavGPFSpCarN21vCOHRw,PQER4ba8Q0zqB1G2QiXamQ,5.0
_oCiEDUZqu91P0Tzdl_wMA,nQe4TPwn3iGiWlRWqguhwg,4.0
4wp4XI9AxKNqJima-xahlg,0lpT5sj09vUfDp5zUBwjIw,4.0
eYW6HKDCOLAf1COkxhVG5g,oVrvzUJczq0e2JzVxSTyag,4.0
HRyFtrmf19GTKEM_kOa2pg,Dd9l9bDHbACessxl-Ks4UA,4.0
ol41034oA4J6R-IpokhxIw,3KzzG6dw5aN9eIo3cGHaSA,5.0
8Az_JgEpXqAii_5EDkw2tw,1cEtxHqi2aYNmu949sK6Gg,5.0
2JjI8DCyrpabtg36iL5lrw,X8AGCsJHw-GuTqkzy2J3cg,3.0
kZJWAY828P8QZTqVYzhTCg,8WBHKj2davW6hhZWlUQ7DA,4.0
keLUgL_4y60BkppiAsIk8Q,iwSKt_VNOsflxngfOJLUaw,4.0
ovFBhEt28yMjW6hBBHp_gA,zr8Ojsm-yNhvfTzBzcKU9w,5.0
jHN9V2Wr54ItVRrLBRaJQw,dMGSKkHT7f36qJfDlgWbzw,5.0
vS4AxqL42Y7r741YOJ62_A,G03yt8WuN1v0bCD8mvoDiA,4.0
rR3KgAwuJxk9Roz4J5_jtg,_uozYXJl42wCax5HG5kU0Q,3.0
GOTjwdXD6bNZ-_qjY7GYYw,dQ4pxV6AxBaD3X4gssg5zg,4.0
Zohjr4ZPl76vryPqiQLJ4A,2mdF-c66TY3eSyTVI4GhQg,3.0
CdJMYUdSAYu6ZjpgOenvnw,WgBV0Sm-yNVgfI__5m1Bug,4.0
53bZ_EsXH71L7iFs5MP9_w,nDKcQkh8vZkY_u1kyww44g,2.0
TibBhm-fbksozIDFD8wjPQ,Wc7Hld-DTJbss8CndeIylw,3.0
qKpkRCPk4ycbllTfFcRbNw,GuAa3tTE3zSr05sUOQYXzA,4.0
2akJPb9X2HhDsM6sOi6b6Q,1gQrMs-I8oKg2p-iRxznzQ,2.0
cqy-OvaSX5fCiL6F6_Rffw,CyU3l-0QfH2boVmYAP-o1A,3.0
rHgT6lBbZ2PaHt0UWfTMtw,_ixV2SWDy7w8jzEAHp85qA,3.0
BQkC6RneYfvfG6wRe0hsvQ,p4JsD_Ya0NRXNdnhbVBs0A,4.0
B7ygjO6fbs5IhW2ykL_MQQ,3WcVxBOl_gWxpRjkdLURSg,1.0
KdQq5g7AjZyCrB2gzwHsmQ,UMqfeCItzQ2glr4d9apGlA,3.5
17-uzTJOUMH6Betdw4jqhw,qfj5Ih8-6RPF2ccvNGvCcg,5.0
jXX-G_goCYZZrLSDY8qXdg,wjLgM9Ybe5shoUPRrGMmsQ,3.0
Du_IfiiJLU0ReeRetapkzA,SDSDJp-d_qUibvLF2FfsCQ,2.0
c3_AdjAlMy4EJYQhuXADgA,Vsw36dEKpusmpwGsZH0pAg,3.0
YL-2pybeWGmSWssWeMaffA,V3hRG0JLX5kVkmKpTykBVQ,5.0
YfcXpAQtz0n84aqw_CtNvw,y6QP5IrOJ7_FsB51jN2_Jg,4.0
lOu5t9HG51UDqm4ahVatqA,XXW_OFaYQkkGOGniujZFHg,3.0
4H7IhaCeQ8YMlqW4NUxvfg,gG9z6zr_49LocyCTvSFg0w,3.0
B1829_hxXSEpDPEDJtYeIw,g8oxQ1Ji9mr9PMjhEfaWSg,3.0
WtmmtVkui7AjVIZvnqQHwg,HTiupfkYLtdXByDPG8z7KA,4.0
dh89cS09n0337wTvdX8YLg,41qxBQnPkMZ2ODeACQ1BBg,5.0
tKWTNMd-R3G6VKVKxk2DVw,z45xS0Kc6GpiITwrpkRVdQ,5.0
mZRv579CnBtG--OheLP_bQ,nz8uRlnveku1C3t-Lripkw,5.0
gdDTmvbfKLDYLUnjRrCcaA,NFMD_-wFrbfdhTcdHPDCZQ,2.0
TvhmBjJ-Tq_CEScxQAfe7A,8kbhfg1xtRO88h-Sa0kj_g,3.0
zFvW-hvtKJ7AAj_kZNXsBw,G6BwYw_0_atLPTzI1uokIA,3.0
kodN4VHOHqvq8Zu2LSbxLg,DYuOxkW4DtlJsTHdxdXSlg,2.0
Ner9deZ2TUFxdiRijBpOjA,y4ETe3DkcIjjr_eyeg5U5g,5.0
TvenTNXyYtMNtED0i2tXfA,yY3jNsrpCyKTqQuRuLV8gw,3.0
c7TTh6A7ELnkNThQ5fmWMQ,D-8yidw7FLKKQpciKJSd2g,3.5
UVxY0iyPaqY7s4BSFtt-xA,VdgLaQinAvwzq0HutvRNiQ,3.0
eTa9_Q6j_F0aq4JrLp2Wuw,LtNhEt9TYEFx5HIhwOxfEA,1.0
NDfcFPPzHqvnCu9rEg2GfA,naPGOTVEpRZavvn9-sFg8A,4.0
kxz6Q2AERQeo9x6nnbHZNg,D-8yidw7FLKKQpciKJSd2g,3.5
yiKkxcuQdB04PVUW7OgtNw,IE0QRqaUSW51RmShZ9dX1Q,5.0
sMhvlIPGLUlRA7QsWlqBOg,UpbTdzW9OoVrnbpHyxnMWg,3.0
0aGMVKiNqmY1kCc5983UkQ,E_7RIDFNQfxREnI_E5h0uA,5.0
TyA_1wJ_irey_D46gfdppg,QnCBkwWiu19YPNnSDyF6eA,4.0
q4O6ty6-tMeG1nc0Vi4hAw,PZqv7Km4EG36_PYGBLz7lQ,2.0
l-tDF960t9BakjyH34XfTA,NwWYSYGHFyHQMmsXu0SiYA,3.0
QUYbGl1DL-9faG150MQ7zA,7svPiqFz7ad82VcdDbBcJw,2.0
VtiE3eXNYtH-tb0aFCF1Pw,svdEhLmNmpVaIv1WLtoOvQ,3.0
DkCIL93oNibJqtC1vETucA,1CTapYK3FHvpiJaQhOaaIw,5.0
tXhscxwFTd-ayLTdPx_2yA,OARQDsxyoGnnX2FfSl9HjA,4.0
XjaUelnG5iCLtPJ6LuYWjQ,R54Sh5Y3zjtZt7MjdfwDZA,5.0
_GCtk6kjbArSxiPPLlAfMA,b4LmLgVdbhM-nc1IZc5Weg,4.0
Xv8y_zfjJ4bNnXbNpAMccQ,TU_Jyk2KmWs7br2w_vYO2w,5.0
MHn01HpwdCeaN3NbOVp0HA,IxDYVpjEeCxZ8HsZnthvdw,2.0
JRwacA7kVVeP_L42hM8hlQ,0PCBt3JKD6IooicImKNBzA,5.0
RyVpd9WTfCC4puHIL8x4CQ,A4NuAm6Ie1aYOtFQc_rb0Q,5.0
5wT0vDycEzgq95yVCZ60Aw,uyoZHZzHaZpqMzXovJxDTw,2.0
YIMeEHUYm69m-Mqf-NjPHw,_ewxwEwJM-IYfIYnKpQOZw,3.0
IKnLl7SbuP0u6HS34jwHhw,SvCjBtbN1cKElDKPTw9dOA,4.0
fjFYpwpvlIlqoiNa3myDEA,cUxsG0rgpE18dMyvyw8Gdg,4.0
4vO8yDIPyniPgvqklaaaQQ,1HWH_BE_wMfX88cRoH-NCQ,5.0
zo2vscKNvDzXWj7YOrdJVA,nT5T5C5kqtc1pQrFG9s1QA,3.0
KAsmY6WCUWRYQXE_50AkQA,ZwuHsufvw1x5rd2c-qyw2w,3.0
VVm-TFCpi9M1-k8ED0l1eA,XOkqRJBS6HwTVlrCACAZFw,4.0
JrXC_MDp38BWwLn2SFdNsA,jC3TqY8iKDlIG3hPREBsFA,4.0
XEH2VtVx5ZYATKEM4jZOXg,rf6dGw5e0PtMBv-k0Tr00w,5.0
lCYaXiAQVY6vq2awuO2Siw,Sovgwq-E-n6wLqNh3X_rXg,5.0
U4INQZOPSUaj8hMjLlZ3KA,Y1LB0uDuJQ1jP5usRdsZZg,4.0
